,artist,song,lyrics
39,Bob Dylan,Maggie’s Farm,"[Verse 1]
I ain't gonna work on Maggie's farm no more
No, I ain't gonna work on Maggie's farm no more
Well, I wake up in the morning
Fold my hands and pray for rain
I got a head full of ideas
That are drivin' me insane

[Bridge]
It's a shame the way she makes me scrub the floor
I ain't gonna work on Maggie's farm no more

[Verse 2]
I ain't gonna work for Maggie's brother no more
No, I ain't gonna work for Maggie's brother no more
Well, he hands you a nickel
He hands you a dime
He asks you with a grin
If you're having a good time

[Bridge]
Then he fines you every time you slam the door
I ain't gonna work for Maggie's brother no more

[Verse 3]
I ain't gonna work for Maggie's Pa no more
No, I ain't gonna work for Maggie's Pa no more
Well, he puts his cigar
Out in your face just for kicks
His bedroom window
It is made out of bricks

[Bridge]
The National Guard stands around his door
Ah, I ain't gonna work for Maggie's Pa no more

[Verse 4]
I ain't gonna work for Maggie's Ma no more
No, I ain't gonna work for Maggie's Ma no more
Well, she talks to all the servants
About man and God and law
Everybody says
She's the brains behind Pa

[Bridge]
She's 68, but she says she's 54
I ain't gonna work for Maggie's Ma no more

[Verse 5]
I ain't gonna work on Maggie's farm no more
I ain't gonna work on Maggie's farm no more
Well, I try my best
To be just like I am
But everybody wants you
To be just like them

[Bridge]
They say ""Sing while you slave"" and I just get bored
Ah, I ain't gonna work on Maggie's farm no more"
40,Bob Dylan,You Belong to Me,"See the pyramids along the Nile
Watch the sun rise from a tropic isle
Just remember, darling, all the while
You belong to me

See the market place in old Algiers
Send me photographs and souvenirs
Just remember when a dream appears
You belong to me

I'll be so alone without you
Maybe you'll be lonesome too... and blue

Fly the ocean in a silver plane
See the jungle when it's wet with rain
Just remember till you're home again
You belong to me

I'll be so alone without you
Maybe you'll be lonesome too... and blue

Fly the ocean in a silver plane
See the jungle when it's wet with rain
Just remember till you're home again
You belong to me"
41,Bob Dylan,Positively 4th Street,"[Verse 1]
You got a lot of nerve
To say you are my friend
When I was down
You just stood there grinning

[Verse 2]
You got a lot of nerve
To say you got a helping hand to lend
You just want to be on
The side that’s winning

[Verse 3]
You say I let you down
You know it’s not like that
If you’re so hurt
Why then don’t you show it?

[Verse 4]
You say you lost your faith
But that’s not where it’s at
You had no faith to lose
And you know it

[Verse 5]
I know the reason
That you talk behind my back
I used to be among the crowd
You’re in with

[Verse 5]
Do you take me for such a fool
To think I’d make contact
With the one who tries to hide
What he don’t know to begin with

[Verse 6]
You see me on the street
You always act surprised
You say “How are you? Good luck!”
But you don’t mean it

[Verse 7]
When you know as well as me
You’d rather see me paralyzed
Why don’t you just come out once
And scream it

[Verse 8]
No, I do not feel that good
When I see the heartbreaks you embrace
If I was a master thief
Perhaps I’d rob them

[Verse 9]
And now I know you’re dissatisfied
With your position and your place
Don’t you understand
It’s not my problem

[Verse 10]
I wish that for just one time
You could stand inside my shoes
And just for that one moment
I could be you

[Verse 11]
Yes, I wish that for just one time
You could stand inside my shoes
You’d know what a drag it is
To see you"
42,Bob Dylan,Just Like Tom Thumb’s Blues,"[Verse 1]
When you're lost in the rain in Juarez
When it's Easter time too
And your gravity fails
And negativity don't pull you through
Don't put on any airs
When you're down on Rue Morgue Avenue
They got some hungry women there
And they really make a mess outta you

[Verse 2]
Now if you see Saint Annie
Please tell her ""Thanks a lot""
I cannot move
My fingers are all in a knot
I don't have the strength
To get up and take another shot
And my best friend, my doctor
Won't even say what it is I've got

[Verse 3]
Sweet Melinda
The peasants call her the Goddess of Gloom
She speaks good English
And she invites you up into her room
And you're so kind
And careful not to go to her too soon
And she takes your voice
And leaves you howling at the moon

[Verse 4]
Up on Housing Project Hill
It's either fortune or fame
You must pick one or the other
Though neither of them are to be what they claim
If you're lookin' to get silly
You better go back to from where you came
Because the cops don't need you
And man, they expect the same

[Verse 5]
Now all the authorities
They just stand around and boast
How they blackmailed the Sergeant-at-Arms
Into leaving his post
And picking up Angel
Who just arrived here from the coast
Who looked so fine at first
But left lookin' just like a ghost

[Verse 6]
I started out on Burgundy
But soon hit the harder stuff
Everybody said they'd stand behind me
When the game got rough
But the joke was on me
There was nobody even there to bluff
I'm going back to New York City
I do believe I've had enough"
43,Bob Dylan,Love Minus Zero/No Limit,"My love she speaks like silence
Without ideals or violence
She doesn't have to say she's faithful
Yet she's true, like ice, like fire

People carry roses
And make promises by the hours
My love she laughs like the flowers
Valentines can't buy her

In the dime stores and bus stations
People talk of situations
Read books, repeat quotations
Draw conclusions on the wall

Some speak of the future
My love she speaks softly
She knows there's no success like failure
And that failure's no success at all

The cloak and dagger dangles
Madams light the candles
In ceremonies of the horsemen
Even a pawn must hold a grudge

Statues made of match sticks
Crumble into one another
My love winks, she does not bother
She knows too much to argue or to judge

The bridge at midnight trembles
The country doctor rambles
Bankers' nieces seek perfection
Expecting all the gifts that wise men bring

The wind howls like a hammer
The night blows rainy
My love she's like some raven
At my window with a broken wing"
44,Bob Dylan,Must Be Santa,"[Verse 1]
Who's got a beard that's long and white?
Santa's got a beard that's long and white
Who comes around on a special night?
Santa comes around on a special night

Special Night, beard that's white

[Chorus]
Must be Santa
Must be Santa
Must be Santa, Santa Clause

[Verse 2]
Who wears boots and a suit of red?
Santa wears boots and a suit of red
Who wears a long cap on his head?
Santa wears a long cap on his head

Cap on head, suit that's red
Special night, beard that's white

[Chorus]
Must be Santa
Must be Santa
Must be Santa, Santa Clause

[Verse 3]
Who's got a big red cherry nose?
Santa's got a big red cherry nose
Who laughs this way - ""HO HO HO""?
Santa laughs this way ""HO HO HO""

HO HO HO, cherry nose
Cap on head, suit that's red
Special night, beard that's white

[Chorus]
Must be Santa
Must be Santa
Must be Santa, Santa Clause

[Verse 4]
Who very soon will come our way?
Santa very soon will come our way
Eight little reindeer pull his sleigh?
Santa's little reindeer pull his sleigh

Reindeer sleigh, come our way
HO HO HO, cherry nose
Cap on head, suit that's red
Special night, beard that's white

[Chorus]
Must be Santa
Must be Santa
Must be Santa, Santa Clause

[Verse 5]
Dasher, Dancer, Prancer, Vixen
Eisenhower, Kennedy, Johnson, Nixon
Dasher, Dancer, Prancer, Vixen
Carter, Reagan, Bush and Clinton

Reindeer sleigh, come our way
HO HO HO, cherry nose
Cap on head, suit that's red
Special night, beard that's white

[Chorus]
Must be Santa
Must be Santa
Must be Santa, Santa Clause
Must be Santa
Must be Santa
Must be Santa, Santa Clause"
45,Bob Dylan,Pay in Blood,"[Verse 1]
Well I'm grinding my life out, steady and sure
Nothing more wretched than what I must endure
I'm drenched in the light that shines from the sun
I could stone you to death for the wrongs that you done
Sooner or later you make a mistake
I'll put you in a chain that you never will break
Legs and arms and body and bone
I pay in blood, but not my own

[Verse 2]
Night after night, day after day
They strip your useless hopes away
The more I take the more I give
The more I die the more I live
I got something in my pocket make your eyeballs swim
I got dogs could tear you limb from limb
I'm circling around the Southern Zone
I pay in blood, but not my own

[Verse 3]
Low cards are what I've got
But I'll play this hand whether I like it or not
I'm sworn to uphold the laws of God
You could put me out in front of a firing squad
I've been out and around with the rowdy men
Just like you, my handsome friend
My head's so hard, must be made of stone
I pay in blood, but not my own

[Verse 4]
Another politician pumping out the piss
Another angry beggar blowing you a kiss
You got the same eyes that your mother does
If only you could prove who your father was
Someone must have slipped a drug in your wine
You gulped it down and you cross the line
Man can't live by bread alone
I pay in blood, but not my own

[Verse 5]
How I made it back home, nobody knows
Or how I survived so many blows
I've been through hell, what good did it do?
You bastard! I'm suppose to respect you?
I'll give you justice, I'll fatten your purse
Show me your moral virtues first
Hear me holler and hear me moan
I pay in blood but not my own

You pet your lover in the bed
Come here, I'll break your lousy head
Our nation must be saved and freed
You've been accused of murder, how do you plead?
This is how I spend my days
I came to bury, not to praise
I'll drink my fill and sleep alone
I pay in blood, but not my own"
46,Bob Dylan,Sad-Eyed Lady of the Lowlands,"[Verse 1]
With your mercury mouth in the missionary times
And your eyes like smoke and your prayers like rhymes
And your silver cross, and your voice like chimes
Oh, who do they think could bury you?
With your pockets well protected at last
And your streetcar visions which ya' place on the grass
And your flesh like silk, and your face like glass
Who could they get to carry you?

[Chorus]
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I put them by your gate
Or, sad-eyed lady, should I wait?

[Verse 2]
With your sheets like metal and your belt like lace
And your deck of cards missing the jack and the ace
And your basement clothes and your hollow face
Who among them can think he could outguess you?
With your silhouette when the sunlight dims
Into your eyes where the moonlight swims
And your matchbook songs and your gypsy hymns
Who among them would try to impress you?

[Chorus]
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I put them by your gate
Or, sad-eyed lady, should I wait?

[Verse 3]
The kings of Tyrus with their convict list
Are waiting in line for their geranium kiss
And ya' wouldn’t know it woulda' happened like this
But a'who among them really wants just to kiss you?
With your childhood flames on your midnight rug
And your Spanish manners and your mother’s drugs
And your cowboy mouth and your curfew plugs
Who among them do ya' think could resist you?

[Chorus]
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate
Or, sad-eyed lady, should I wait?

[Verse 4]
Oh, the farmers and the businessmen, they all did decide
To show you where the dead angels are that they used to hide
But why did they pick you to sympathize with their side?
How could they ever mistake you?
They wished you’d accepted the blame for the farm
But with the sea at your feet and the phony false alarm
And with the child of the hoodlum wrapped up in your arms
How could they ever have persuaded you?

[Chorus]
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate
Or, sad-eyed lady, should I wait?

[Verse 5]
With your sheet-metal memory of Cannery Row
And your magazine-husband who one day just had to go
And your gentleness now, which you just can’t help but show
Who among them do you think would employ you?
Now you stand with your thief, you’re on his parole
With your holy medallion an' your fingertips now that fold
And your saintlike face and your ghost-like soul
Who among them could ever think it could destroy you?

[Chorus]
Sad-eyed lady of the lowlands
Where the sad-eyed prophet say that no man comes
My warehouse eyes, my Arabian drums
Should I leave them by your gate
Or, sad-eyed lady, should I wait?"
47,Bob Dylan,You’re Gonna Make Me Lonesome When You Go,"[Verse 1]
I’ve seen love go by my door
It’s never been this close before
Never been so easy or so slow
I've been shooting in the dark too long
When something’s not right, it’s wrong
You're gonna make me lonesome when you go

[Verse 2]
Dragon clouds so high above
I’ve only known careless love
It always just hit me from below
But this time 'round it’s more correct
Right on target, so direct
You're gonna make me lonesome when you go

[Verse 3]
Purple clover, Queen Anne's lace
Crimson hair across your face
You could make me cry, if you don’t know
Can’t remember what I was thinking of
You might be spoilin’ me too much, love
You're gonna make me lonesome when you go

[Bridge 1]
Flowers on the hillside blooming crazy
Crickets talking back and forth in rhyme
Blue river running slow and lazy
I could stay with you forever and never realize the time

[Verse 4]
Situations have ended sad
Relationships have all been bad
Mine’ve been like Verlaine’s and Rimbaud
But there’s no way I can compare
All them scenes to this affair
You're gonna make me lonesome when you go

[Bridge 2]
You're gonna make me wonder what I’m doin’
Staying far behind without you
You're gonna make me wonder what I’m sayin’
You're gonna make me give myself a good talking-to

[Verse 5]
I’ll look for you in old Honolulu
San Francisco or Ashtabula
You're gonna have to leave me now, I know
But I’ll see you in the sky above
In the tall grass, in the ones I love
You're gonna make me lonesome when you go"
48,Bob Dylan,"If You See Her, Say Hello","[Verse 1]
If you see her, say hello, she might be in Tangier
She left here last early Spring, is livin' there, I hear
Say for me that I'm all right though things get kind of slow
She might think that I've forgotten her, don't tell her it isn't so

[Verse 2]
We had a falling out, like lovers often will
And to think of how she left that night, it still brings me a chill
And though our separation, it pierced me to the heart
She still lives inside of me, we've never been apart

[Verse 3]
If you get close to her, kiss her once for me
Always have respected her for doing what she did and gettin' free
Oh, whatever makes her happy, I won't stand in the way
Though the bitter taste still lingers on from the night I tried to make her stay

[Verse 4]
I see a lot of people as I make the rounds
And I hear her name here and there as I go from town to town
And I've never gotten used to it, I've just learned to turn it off
Either I'm too sensitive or else I'm gettin' soft

[Verse 5]
Sundown, yellow moon, I replay the past
I know every scene by heart, they all went by so fast
If she's passin' back this way, I'm not that hard to find
Tell her she can look me up if she's got the time"
49,Bob Dylan,She Belongs to Me,"[Verse 1]
She's got everything she needs
She's an artist, she don't look back
She's got everything she needs
She's an artist, she don't look back
She can take the dark out of the nighttime
And paint the daytime black

[Verse 2]
You will start out standing
Proud to steal her anything she sees
You will start out standing
Proud to steal her anything she sees
But you will wind up peeking through her keyhole
Down upon your knees

[Verse 3]
She never stumbles
She's got no place to fall
She never stumbles
She's got no place to fall
She's nobody's child
The Law can't touch her at all

[Instrumental Interlude]

[Verse 4]
She wears an Egyptian ring
It sparkles before she speaks
She wears an Egyptian ring
It sparkles before she speaks
She's a hypnotist collector
You are a walking antique

[Verse 5]
Bow down to her on Sunday
Salute her when her birthday comes
Bow down to her on Sunday
Salute her when her birthday comes
For Halloween buy her a trumpet
And for Christmas get her a drum"
50,Bob Dylan,Talkin’ World War III Blues,"[Verse 1]
One time ago a crazy dream came to me
I dreamt I was walking to World War Three
I went to the doctor the very next day
To see what kind of words he could say
He said it was a bad dream
""I wouldn’t worry about it none, though
Them old dreams are only in your head""

[Verse 2]
I said “Hold it Doc, a World War passed through my brain”
He said “Nurse, get your pad, the boy’s insane”
He grabbed my arm, I said “Ouch!”
As I landed on the psychiatric couch
He said “Tell me about it”

[Verse 3]
Well, the whole thing started at 3 o’clock fast
It was all over by a quarter past
I was down in the sewer with some little lover
When I peeked out from a manhole cover
Wondering who turned the lights on us

[Verse 4]
Well, I got up and I walked around
Up and down the lonesome town
I stood a-wondering which way to go
I lit a cigarette on a parking meter
And walked on down the road
It was a normal day

[Verse 4]
Well, I rung the fallout shelter bell
And I leaned my head and I give a yell
“Give me a string bean, I’m a hungry man”
A shotgun fired, and away I ran
I don’t blame him too much though, he didn't know me

[Verse 5]
Down at the corner by the hot-dog stand
I seen a man
I said “Howdy friend, I guess there’s just us two”
He screamed a bit, and away he flew
Thought I was a Communist

[Verse 6]
Well, I spied me a girl and before she could leave
I said “Let’s go and play Adam and Eve”
I took her by the hand, and my heart was thumping
When she said “Hey man, you crazy or something?
You seen what happened last time they started”

[Verse 7]
Well, I seen me a Cadillac window uptown
There was nobody around
I got into the driver’s seat
And I drove down 42nd Street
In my Cadillac
Good car to drive after a war

[Verse 8]
Well, I remember seeing some ad
So I turned on my Conelrad
But I didn’t pay the Con Ed bill
So the radio didn’t work so well
Turned on my record player —
It was Rock-a-day Johnny, singing “Tell Your Ma, Tell Your Pa
Our Love’s A-going to Grow, Ooh-wah, Ooh-wah”

[Verse 9]
I was feeling kind of lonesome and blue
I needed somebody to talk to
So I called up the operator of time
Just to hear a voice of some kind
“When you hear the beep it will be three o’clock”
She said that for over an hour
And I hung up

[Verse 10]
Well, the doctor interrupted me just about then
Saying “Hey I’ve been having the same old dreams
But mine was a little different, you see
I dreamt the only person left after the war was me
I didn’t see you around""

[Verse 11]
Well, now time passed and now it seems
Everybody’s having them dreams
Everybody sees their self
Walking around with no one else

[Outro]
""Half of the people can be part right all of the time
And some of the people can be all right part of the time
But all of the people can’t be all right all of the time""
I think Abraham Lincoln said that
“I’ll let you be in my dream if I can be in yours”
I said that"
51,Bob Dylan,Sara,"[Verse 1]
I laid on a dune, I looked at the sky
When the children were babies and played on the beach
You came up behind me, I saw you go by
You were always so close and still within reach

[Chorus]
Sara, Sara
Whatever made you want to change your mind?
Sara, Sara
So easy to look at, so hard to define

[Verse 2]
I can still see them playing with their pails in the sand
They run to the water their buckets to fill
I can still see the shells falling out of their hands
As they follow each other back up the hill

[Chorus]
Sara, Sara
Sweet virgin angel, sweet love of my life
Sara, Sara
Radiant jewel, mystical wife

[Verse 3]
Sleeping in the woods by a fire in the night
Drinking white rum in a Portugal bar
Them playing leapfrog and hearing about Snow White
You in the marketplace in Savanna-la-Mar

[Chorus]
Sara, Sara
It’s all so clear, I could never forget
Sara, Sara
Loving you is the one thing I’ll never regret

[Verse 4]
I can still hear the sounds of those Methodist bells
I’d taken the cure and had just gotten through
Staying up for days in the Chelsea Hotel
Writing “Sad Eyed Lady of the Lowlands” for you

[Chorus]
Sara, Sara
Wherever we travel we’re never apart
Sara, oh Sara
Beautiful lady, so dear to my heart

[Verse 5]
How did I meet you? I don’t know
A messenger sent me in a tropical storm
You were there in the winter, moonlight on the snow
And on Lily Pond Lane when the weather was warm

[Chorus]
Sara, oh Sara
Scorpio Sphinx in a calico dress
Sara, Sara
You must forgive me my unworthiness

[Verse 6]
Now the beach is deserted except for some kelp
And a piece of an old ship that lies on the shore
You always responded when I needed your help
You give me a map and a key to your door

[Chorus]
Sara, oh Sara
Glamorous nymph with an arrow and bow
Sara, oh Sara
Don’t ever leave me, don’t ever go"
52,Bob Dylan,Scarlet Town,"[Verse 1]
In Scarlet Town, where I was born
There’s ivy leaf and silver thorn
The streets have names that you can’t pronounce
Gold is down to a quarter of an ounce
The music starts and the people sway
Everybody says, “Are you going my way?""
Uncle Tom still working' for Uncle Bill
Scarlet Town is under the hill

[Verse 2]
Scarlet Town in the month of May
Sweet William Holme on his deathbed lay
Mistress Mary by the side of the bed
Kissing' his face and putting' prayers on his head
So brave and true, so gentle is he
I’ll weep for him as he would weep for me
Little Boy Blue come blow your horn
In Scarlet Town, where I was born

[Verse 3]
Scarlet Town, in the hot noon hours
There’s palm-leaf shadows and scattered flowers
Beggars crouching at the gate
Help comes, but it comes too late
By marble slabs and in fields of stone
You make your humble wishes known
I touched the garment, but the hem was torn
In Scarlet Town, where I was born

[Verse 4]
In Scarlet Town, the end is near
The Seven Wonders of the World are here
The evil and the good living' side by side
All human forms seem glorified
Put your heart on a platter and see who will bite
See who will hold you and kiss you good night
There’s walnut groves and maplewood
In Scarlet Town crying' won’t do no good

[Verse 5]
In Scarlet Town, you fight your father’s foes
Up on the hill, a chilly wind blows
You fight ‘em on high and you fight 'em down in
You fight 'em with whiskey, morphine and gin
You’ve got legs that can drive men mad
A lot of things we didn’t do that I wish we had
In Scarlet Town, the sky is clear
You’ll wish to God that you stayed right here

[Verse 6]
Set ‘em Joe, play “Walking the Floor""
Play it for my flat-chested junkie whore
I’m staying up late, I’m making amends
While we smile, all heaven descends
If love is a sin, then beauty is a crime
All things are beautiful in their time
The black and the white, the yellow and the brown
It’s all right there in front of you in Scarlet Town"
53,Bob Dylan,You’re a Big Girl Now,"[Verse 1]
Our conversation was short and sweet
It nearly swept me off-a my feet
And I'm back in the rain, oh, oh
And you are on dry land
You made it there somehow
You're a big girl now

[Verse 2]
Bird on the horizon, sitting on a fence
He's singing his song for me at his own expense
And I'm just like that bird, oh, oh
Singing just for you
I hope that you can hear
Hear me singing through these tears

[Verse 3]
Time is a jet plane, it moves too fast
Oh, but what a shame that all we've shared can't last
I can change, I swear, oh, oh
See what you can do
I can make it through
You can make it too

[Verse 4]
Love is so simple, to quote a phrase
You've known it all the time, I'm learning it these days
Oh, I know where I can find you, oh, oh
In somebody's room
It's a price I have to pay
You're a big girl all the way

[Verse 5]
A change in the weather is known to be extreme
But what's the sense of changing horses in midstream?
I'm going out of my mind, oh, oh
With a pain that stops and starts
Like a corkscrew to my heart
Ever since we've been apart"
54,Bob Dylan,With God on Our Side,"Oh my name it ain't nothin'
My age it means less
The country I come from
Is called the Midwest
I’s taught and brought up there
The laws to abide
And that the land that I live in
Has God on its side

Oh the history books tell it
They tell it so well
The cavalries charged
The Indians fell
The cavalries charged
The Indians died
Ah the country was young
With God on its side

The Spanish-American
War had its day
And the Civil War too
Was soon laid away
And the names of the heroes
I’s made to memorize
With guns in their hands
And God on their side

The First World War boys
It came and it went
The reason for fightin'
I never did get
But I learned to accept it
Accept it with pride
For you don’t count the dead
When God’s on your side

The Second World War
Came to an end
We forgave the Germans
And then we were friends
Though they murdered six million
In the ovens they fried
The Germans now too
Have God on their side

I’ve learned to hate the Russians
All through my whole life
If another war comes
It’s them we must fight
To hate them and fear them
To run and to hide
And accept it all bravely
With God on my side

But now we got weapons
Of chemical dust
If fire them we’re forced to
Then fire them we must
One push of the button
And a shot the world wide
And ya' never ask questions
When God’s on your side

Through many dark hour
I been thinking about this
That Jesus Christ
Was betrayed by a kiss
But I can’t think for ya'
You’ll have to decide
Whether Judas Iscariot
Had God on his side

So now as I’m leavin'
I’m weary as Hell
The confusion I’m feelin'
Ain't no tongue can tell
The words fill my head
And they fall to the floor
If God’s on our side
He’ll stop the next war"
55,Bob Dylan,Bob Dylan’s 115th Dream,"I was riding on the Mayflower
When I thought I spied some land
I yelled for Captain Arab
I have you understand
Who came running to the deck
Said, ""Boys, forget the whale
Look on over yonder
Cut the engines
Change the sail
Haul on the bowline""
We sang that melody
Like all tough sailors do
When they're far away at sea

""I think I'll call it America""
I said as we hit land
I took a deep breath
I fell down, I could not stand
Captain Arab he started
Writing up some deeds
He said, ""Let's set up a fort
And start buyin' a place with beads""
Just then this cop comes down the street
Crazy as a loon
He throws us all in jail
For carrying harpoons

Ah, me I busted out
Don't even ask me how
I went to get some help
I walked by a Guernsey cow
Who directed me down
To the Bowery slums
Where people carried signs around
Sayin', ""Ban the bums""
I jumped right into line
Sayin' ""I hope that I'm not late""
When I realized I hadn't eaten
For five days straight

I went into a restaurant
Looking for the cook
I told him I was the editor
Of a famous etiquette book
The waitress he was handsome
He wore a powder blue cape
I ordered some Suzette, I said
""Could you please make that Crepe?""
Just then the whole kitchen exploded
From boilin' fat
Food was flyin' everywhere
I left without my hat

Now, I didn't mean to be nosy
But I went into a bank
To get some bail for Arab
And all the boys back in the tank
They asked me for some collateral
And I pulled down my pants
They threw me in the alley
When up comes this girl from France
Who invited me to her house
I went, but she had a friend
Who knocked me out
And robbed my boots
And I was on the street again

Well, I rapped upon a house
With the US flag upon display
I said, ""Could you help me out
I got some friends down the way""
""The man says, ""Get out of here
I'll tear you limb from limb""
I said, ""You know they refused Jesus, too""
He said, ""You're not Him
Get out of here before I break your bones
I ain't your pop""
I decided to have him arrested
And I went lookin' for a cop

I ran right outside
I hopped inside a cab
I went out the other door
This Englishman said, ""Fab""
As he saw me leap a hot dog stand
And a chariot that stood
Parked across from a building
Advertising brotherhood
I ran right through the front door
Like a hobo sailor does
But it was just a funeral parlor
And the man asked me who I was

I repeated that my friends
Were all in jail, with a sigh
He gave me his card
He said, ""Call me if they die""
I shook his hand and said goodbye
Ran out to the street
When a bowling ball came down the road
And knocked me off my feet
A pay phone was ringing
And it just about blew my mind
When I picked it up and said hello
This foot came through the line

Well, by this time I's fed up
At tryin' to make a stab
At bringing back any help
For my friends and captain Arab
I decided to flip a coin
Like either heads or tails
Would let me know if I should go
Back to ship or back to jail
So I hocked my sailor suit
And I got a coin to flip
It came up tails
It rhymed with sails
So I made it back to the ship

Well, I got back and took
The parking ticket off the mast
I was ripping it to shreds
When this coastguard boat went past
They asked me my name
And I said, ""Captain Kidd""
They believed me but
They wanted to know
What exactly that I did
I said for the Pope of Eruke
I was employed
They let me go right away
They were very paranoid

Well, the last I heard of Arab
He was stuck on a whale
That was married to the deputy
Sheriff of the jail
But the funniest thing was
When I was leavin' the bay
I saw three ships sailin'
There were all heading my way
I asked the captain what his name was
And how come he didn't drive a truck
He said his name was Columbus
I just said, ""Good luck"""
56,Bob Dylan,"It Takes a Lot to Laugh, It Takes a Train to Cry","Well, I ride on a mail train, baby
Can't buy a thrill
Well, I been up all night
Leanin' on the windowsill
Well, if I die
On top of the hill
And if I don’t make it
You know my baby will

Don't the moon look good, mama
Shining through the trees?
Don't the brakeman look good, mama
Flaggin' down the “Double E?”
Don't the sun look good
Goin' down over the sea?
But don’t my gal look fine
When she's comin' after me?

Now the wintertime is coming
The windows are filled with frost
I went to tell everybody
But I could not get across
Well, I want to be your lover, baby
I don’t want to be your boss
Don’t say I never warned you
When your train gets lost"
57,Bob Dylan,Tin Angel,"[Verse 1]
It was late last night when the boss came home
To a deserted mansion and a desolate throne
Servant said: “Boss, the lady’s gone
She left this morning just ‘fore dawn.”

[Verse 2]
“You got something to tell me, tell it to me, man
Come to the point as straight as you can”
“Old Henry Lee, chief of the clan
Came riding through the woods and took her by the hand”

[Verse 3]
The boss he lay back flat on his bed
He cursed the heat and he clutched his head
He pondered the future of his fate
To wait another day would be far too late

[Verse 4]
“Go fetch me my coat and my tie
And the cheapest labour that money can buy
Saddle me up my buckskin mare
If you see me go by, put up a prayer” (The Boss)

[Verse 5]
Well, they rode all night, and they rode all day
Eastward, long down the broad highway
His spirit was tired and his vision was bent
His men deserted him and onward he went

[Verse 6]
He came to a place where the light was dull
His forehead pounding in his skull
Heavy heart was racked with pain
Insomnia raging in his brain

[Verse 7]
Well, he threw down his helmet and his cross-handled sword
He renounced his faith, he denied his lord
Crawled on his belly, put his ear to the wall
One way or another put an end to it all

[Verse 8]
He leaned down, cut the electric wire
Stared into the flames and he snorted the fire
Peered through the darkness, caught a glimpse of the two
It was hard to tell for certain who was who

[Verse 9]
He lowered himself down on a golden chain
His nerves were quaking in every vein
His knuckles were bloody, he sucked in the air
He ran his fingers through his greasy hair

[Verse 10]
They looked at each other and their glasses clinked
One single unit, inseparably linked
“Got a strange premonition there’s a man close by” (Henry Lee)
“Don’t worry about him, he wouldn’t harm a fly” (The Wife)

[Verse 11]
From behind the curtain, the boss he crossed the floor
He moved his feet and he bolted the door
Shadows hiding the lines in his face
With all the nobility of an ancient race

[Verse 12]
She turned, she was startled with a look of surprise
With a hatred that could hit the skies
“You’re a reckless fool, I could see it in your eyes
To come this way was by no means wise” (The Wife)

[Verse 13]
“Get up, stand up, you greedy-lipped wench
And cover your face or suffer the consequence
You are making my heart feel sick
Put your clothes back on, double-quick” (The Boss)

[Verse 14]
“Silly boy, you think me a saint
I’ll listen no more to your words of complaint
You’ve given me nothing but the sweetest lies
Now hold your tongue and feed your eyes” (The Wife)

[Verse 15]
“I’d have given you the stars and the planets, too
But what good would these things do you?
Bow the heart if not the knee
Or never again this world you’ll see” (The Boss)

[Verse 16]
“Oh, please let not your heart be cold
This man is dearer to me than gold” (The Wife)
“Oh, my dear, you must be blind
He’s a gutless ape with a worthless mind” (The Boss)

[Verse 17]
“You’ve had your way too long with me
Now it’s me who’ll determine how things shall be” (The Wife)
“Try to escape,” he cussed and cursed
‘You’ll have to try to get past me first” (The Boss)

[Verse 18]
“Do not let your passion rule
You think my heart the heart of a fool
And you, sir, you can not deny
You made a monkey of me, what and for why?” (The Boss)

[Verse 19]
“I’ll have no more of this insulting chat
The devil can have you, I’ll see to that
Look sharp or step aside
Or in the cradle you’ll wish you’d died” (Henry Lee)

[Verse 20]
The gun went boom and the shot rang clear
First bullet grazed his ear
Second ball went right straight in
And he bent in the middle like a twisted pin

[Verse 21]
He crawled to the corner and he lowered his head
He gripped the chair and he grabbed the bed
It would take more than needle and thread
Bleeding from the mouth, he’s as good as dead

[Verse 22]
“You shot my husband down, you fiend” (The Wife)
“Husband? What husband? What the hell do you mean?
He was a man of strife, a man of sin
I cut him down and threw him to the wind” (Henry Lee)

[Verse 23]
This she said with angry breath
“You too shall meet the lord of death
It was I who brought your soul to life” (The Wife)
Then she raised her robe and she drew out a knife

[Verse 24]
His face was hard and caked with sweat
His arms ached and his hands were wet
“You’re a murderous queen and a bloody wife
If you don’t mind, I’ll have the knife” (Henry Lee)

[Verse 25]
“We’re two of a kind and our blood runs hot
But we’re no way similar in body or thought
All husbands are good men, as all wives know” (The Wife)
Then she pierced him to the heart and his blood did flow

[Verse 26]
His knees went limp and he reached for the door
His tomb was sealed, he slid to the floor
He whispered in her ear: “This is all your fault
My fighting days have come to a halt” (Henry Lee)

[Verse 27]
She touched his lips and kissed his cheek
He tried to speak but his breath was weak
“You died for me, now I’ll die for you” (The Wife)
She put the blade to her heart and she ran it through

[Verse 28]
All three lovers together in a heap
Thrown into the grave, forever to sleep
Funeral torches blazed away
Through the towns and the villages all night and all day"
